RUN_TYPE	TABLESIZE	RMWS	READS	WORKERS	RESULT_TIMESTAMP	REPORTS	MTPS	ABORTS_PER_SEC
4	100	10	0	230	2016/03/04:14:10:22	2299	0.0	2319677.0724890823
4	100	9	1	230	2016/03/04:14:10:22	2298	0.0	1873132.203056769
4	100	0	10	230	2016/03/04:14:10:22	2297	0.23823992375545863	0.0
4	100	8	2	230	2016/03/04:14:10:22	2298	0.0	1420795.6222707438
4	100	7	3	230	2016/03/04:14:10:22	2298	8.032535065502185E-6	1119911.0745851526
4	100	6	4	230	2016/03/04:14:10:22	2298	4.01637751091703E-6	1016963.0163318776
4	100	5	5	230	2016/03/04:14:10:22	2298	1.7567922270742357E-5	776996.0918777288
4	100	4	6	230	2016/03/04:14:10:22	2298	0.0	742040.2248471614
4	100	3	7	230	2016/03/04:14:10:22	2298	3.916156668122271E-5	615206.0669868987
4	100	2	8	230	2016/03/04:14:10:22	2298	9.838236943231436E-5	457360.1795196507
4	100	1	9	230	2016/03/04:14:10:22	2296	0.009312749515283847	452965.30537117907
4	100	50	0	230	2016/03/04:14:10:22	2297	0.0	2463642.2179039316
4	100	49	1	230	2016/03/04:14:10:22	2297	1.5057789650655021E-5	1869281.751965066
4	100	34	16	230	2016/03/04:14:10:22	2298	0.0	300395.4652401746
4	100	48	2	230	2016/03/04:14:10:22	2296	0.0	1513516.4462882082
4	100	25	25	230	2016/03/04:14:10:22	2298	0.0	190821.83515283838
4	100	16	34	230	2016/03/04:14:10:22	2296	0.0	128667.68572052398
4	100	46	4	230	2016/03/04:14:10:22	2298	0.0	928851.2607423584
4	100	8	42	230	2016/03/04:14:10:22	2295	0.0	103190.0473799126
4	100	4	46	230	2016/03/04:14:10:22	2295	0.0	89522.56353711798
4	100	2	48	230	2016/03/04:14:10:22	2294	0.0	88354.54318777291
4	100	1	49	230	2016/03/04:14:10:22	2296	3.7077023349344965E-4	81950.5798689956
4	100	0	50	230	2016/03/04:14:10:22	2295	0.03989120903930133	0.0
4	100	42	8	230	2016/03/04:14:10:22	2297	0.0	566107.8876419212
4	1000	10	0	230	2016/03/04:14:10:22	2298	0.012246443205240175	2772611.5829694327
4	1000	9	1	230	2016/03/04:14:10:22	2297	0.011420975113537117	2765023.5716157206
4	1000	0	10	230	2016/03/04:14:10:22	2297	1.266063323144104	0.0
4	1000	8	2	230	2016/03/04:14:10:22	2299	0.01036760725327511	2343712.152838428
4	1000	7	3	230	2016/03/04:14:10:22	2298	0.01019613391703056	2145682.5847161566
4	1000	6	4	230	2016/03/04:14:10:22	2300	0.0144401586	1849063.089999999
4	1000	5	5	230	2016/03/04:14:10:22	2299	0.014754192262008733	1720895.0925764195
4	1000	4	6	230	2016/03/04:14:10:22	2299	0.020980871078602626	1538521.3472489093
4	1000	3	7	230	2016/03/04:14:10:22	2298	0.03927953458515286	1362038.6150218348
4	1000	2	8	230	2016/03/04:14:10:22	2299	0.08440929192139737	1040311.6903056772
