BENCHMARK_NAME	WORKLOAD_NAME	MACHINE	RESULT_FOLDER	FOLDER_TIMESTAMP	STORAGE_TYPE	duration_micro	fork_workers	hot_threshold	initial_table_size	log_buffer_mb	loggers_per_node	max_scan_length	null_log_device	numa_nodes	ordered_inserts	random_inserts	read_all_fields	reducer_buffer_size	reps_per_tx	rmw_additional_reads	snapshot_pool_size	sort_keys	sort_load_keys	thread_per_node	verify_loaded_data	volatile_pool_size	workload	write_all_fields	zipfian_theta	COMPLETED_RUNS	FAILED_RUNS	MTPS_AVE	MTPS_STDEV	RACE_ABORTS_AVE	RACE_ABORTS_STDEV
ycsb	workloadF	dl580	result_ycsb_1452554267	2016/01/11:15:17:47	hash	10000000	true	5	100000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	8.54553	0.23248443087655665	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452554267	2016/01/11:15:17:47	masstree	10000000	true	5	100000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	16.68326666666667	1.0916918989449973	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452554457	2016/01/11:15:20:57	hash	10000000	true	5	1000000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	6.044430000000001	0.0523802946408196	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452554457	2016/01/11:15:20:57	masstree	10000000	true	5	1000000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	5.07179	0.10972697845107786	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452554652	2016/01/11:15:24:12	hash	10000000	true	256	50	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	21.5445	0.8114978866269204	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452554652	2016/01/11:15:24:12	masstree	10000000	true	256	50	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	22.4231	0.33589394159459157	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452554850	2016/01/11:15:27:30	hash	10000000	true	256	100	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	23.06396666666667	1.089511065672222	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452554850	2016/01/11:15:27:30	masstree	10000000	true	256	100	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	25.086133333333336	0.33949651282771853	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452555034	2016/01/11:15:30:34	hash	10000000	true	256	1000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	18.097866666666665	0.15235651902308747	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452555034	2016/01/11:15:30:34	masstree	10000000	true	256	1000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	21.744733333333333	0.9244733720100268	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452555219	2016/01/11:15:33:39	hash	10000000	true	256	10000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	18.190300000000004	1.2288706115779435	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452555219	2016/01/11:15:33:39	masstree	10000000	true	256	10000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	18.253533333333333	0.5817938714776592	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452555415	2016/01/11:15:36:55	hash	10000000	true	256	100000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	8.958906666666666	0.08317404416181992	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452555415	2016/01/11:15:36:55	masstree	10000000	true	256	100000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	16.1701	0.4719197883821563	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452555611	2016/01/11:15:40:11	hash	10000000	true	256	1000000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	5.899359999999999	0.17570271616192	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452555611	2016/01/11:15:40:11	masstree	10000000	true	256	1000000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	5.348696666666666	0.2215991297114927	0	0.0

