BENCHMARK_NAME	WORKLOAD_NAME	MACHINE	RESULT_FOLDER	FOLDER_TIMESTAMP	STORAGE_TYPE	duration_micro	enable_retrospective_lock_list	extended_rw_lock	extra_table_reads	extra_table_rmws	extra_table_size	fork_workers	hot_threshold	initial_table_size	log_buffer_mb	loggers_per_node	max_scan_length	null_log_device	numa_nodes	ordered_inserts	parallel_lock	random_inserts	read_all_fields	reducer_buffer_size	reps_per_tx	rmw_additional_reads	snapshot_pool_size	sort_keys	sort_load_keys	thread_per_node	verify_loaded_data	volatile_pool_size	workload	write_all_fields	zipfian_theta	COMPLETED_RUNS	FAILED_RUNS	MTPS_AVE	MTPS_STDEV	RACE_ABORTS_AVE	RACE_ABORTS_STDEV
ycsb	workloadF	gh	result_ycsb_1458286025	2016/03/18:00:27:05	hash	10000000	0	1	0	0	0	true	0	50	512	2	1000	true	16	0	0	0	0	1	10	0	1	0	0	14	0	16	F	0	0	3	0	0.0027049566666666664	2.568536591567317E-5	1675109	15662.19339683941
ycsb	workloadF	gh	result_ycsb_1458286025	2016/03/18:00:27:05	masstree	10000000	0	1	0	0	0	true	0	50	512	2	1000	true	16	0	0	0	0	1	10	0	1	0	0	14	0	16	F	0	0	3	0	0.0010365533333333333	1.1152489507820428E-5	623366	8129.73295994401
ycsb	workloadF	gh	result_ycsb_1458286246	2016/03/18:00:30:46	hash	10000000	0	1	0	0	0	true	0	50	512	2	1000	true	16	0	0	0	0	1	9	1	1	0	0	14	0	16	F	0	0	3	0	0.0028825566666666664	5.2190976444419786E-5	1620339	29251.810950583418
ycsb	workloadF	gh	result_ycsb_1458286246	2016/03/18:00:30:46	masstree	10000000	0	1	0	0	0	true	0	50	512	2	1000	true	16	0	0	0	0	1	9	1	1	0	0	14	0	16	F	0	0	3	0	0.00119902	4.5438383187582324E-6	653543	1326.0648132410481
ycsb	workloadF	gh	result_ycsb_1458286467	2016/03/18:00:34:27	hash	10000000	0	1	0	0	0	true	0	50	512	2	1000	true	16	0	0	0	0	1	8	2	1	0	0	14	0	16	F	0	0	3	0	0.0032326533333333334	1.8764381743689033E-5	1599896	14437.109683035591
ycsb	workloadF	gh	result_ycsb_1458286467	2016/03/18:00:34:27	masstree	10000000	0	1	0	0	0	true	0	50	512	2	1000	true	16	0	0	0	0	1	8	2	1	0	0	14	0	16	F	0	0	3	0	0.00139758	2.6482572886076968E-5	669958	6972.486229619174
ycsb	workloadF	gh	result_ycsb_1458286688	2016/03/18:00:38:08	hash	10000000	0	1	0	0	0	true	0	50	512	2	1000	true	16	0	0	0	0	1	7	3	1	0	0	14	0	16	F	0	0	3	0	0.00370274	1.5141974772048755E-5	1595184	12786.538390041302
ycsb	workloadF	gh	result_ycsb_1458286688	2016/03/18:00:38:08	masstree	10000000	0	1	0	0	0	true	0	50	512	2	1000	true	16	0	0	0	0	1	7	3	1	0	0	14	0	16	F	0	0	3	0	0.0016845100000000002	1.4912493643456423E-5	696316	5337.789919267056
ycsb	workloadF	gh	result_ycsb_1458286910	2016/03/18:00:41:50	hash	10000000	0	1	0	0	0	true	0	50	512	2	1000	true	16	0	0	0	0	1	6	4	1	0	0	14	0	16	F	0	0	3	0	0.004449843333333334	5.111341659045369E-5	1626679	27396.963298876755
ycsb	workloadF	gh	result_ycsb_1458286910	2016/03/18:00:41:50	masstree	10000000	0	1	0	0	0	true	0	50	512	2	1000	true	16	0	0	0	0	1	6	4	1	0	0	14	0	16	F	0	0	3	0	0.002047076666666667	1.9836398082503587E-5	710254	1742.7243678301522
