BENCHMARK_NAME	WORKLOAD_NAME	MACHINE	RESULT_FOLDER	FOLDER_TIMESTAMP	STORAGE_TYPE	duration_micro	enable_retrospective_lock_list	extended_rw_lock	extra_table_reads	extra_table_rmws	extra_table_size	fork_workers	hot_threshold	initial_table_size	log_buffer_mb	loggers_per_node	max_scan_length	null_log_device	numa_nodes	ordered_inserts	random_inserts	read_all_fields	reducer_buffer_size	reps_per_tx	rmw_additional_reads	snapshot_pool_size	sort_keys	sort_load_keys	thread_per_node	verify_loaded_data	volatile_pool_size	workload	write_all_fields	zipfian_theta	COMPLETED_RUNS	FAILED_RUNS	MTPS_AVE	MTPS_STDEV	RACE_ABORTS_AVE	RACE_ABORTS_STDEV
ycsb	workloadF	gh	result_ycsb_1467577749	2016/07/03:13:29:09	hash	10000000	0	1	0	0	0	true	0	1000000	512	2	1000	true	16	0	0	0	1	4	6	1	0	0	14	0	16	F	0	0	3	0	8.097333333333333	0.0330685513571809	184934	798.6191555161014
ycsb	workloadF	gh	result_ycsb_1467577858	2016/07/03:13:30:58	hash	10000000	0	1	0	0	0	true	0	1000000	512	2	1000	true	16	0	0	0	1	3	7	1	0	0	14	0	16	F	0	0	3	0	8.290646666666667	0.16120460649601737	138390	3106.215632495151
ycsb	workloadF	gh	result_ycsb_1467577968	2016/07/03:13:32:48	hash	10000000	0	1	0	0	0	true	0	1000000	512	2	1000	true	16	0	0	0	1	2	8	1	0	0	14	0	16	F	0	0	3	0	8.370836666666667	0.09087623867417499	91346	1258.351302299958
ycsb	workloadF	gh	result_ycsb_1467578078	2016/07/03:13:34:38	hash	10000000	0	1	0	0	0	true	0	1000000	512	2	1000	true	16	0	0	0	1	1	9	1	0	0	14	0	16	F	0	0	3	0	9.056143333333333	0.07070647133675612	49663	457.9958757699988
ycsb	workloadF	gh	result_ycsb_1467578187	2016/07/03:13:36:27	hash	10000000	0	1	0	0	0	true	0	1000000	512	2	1000	true	16	0	0	0	1	0	10	1	0	0	14	0	16	F	0	0	3	0	9.659806666666666	0.0970604218459228	0	0.0
ycsb	workloadF	gh	result_ycsb_1467578298	2016/07/03:13:38:18	hash	10000000	0	1	0	0	0	true	256	1000000	512	2	1000	true	16	0	0	0	1	10	0	1	0	0	14	0	16	F	0	0	3	0	6.679753333333333	0.15499002125586678	925077	20898.970617925563
ycsb	workloadF	gh	result_ycsb_1467578407	2016/07/03:13:40:07	hash	10000000	0	1	0	0	0	true	256	1000000	512	2	1000	true	16	0	0	0	1	9	1	1	0	0	14	0	16	F	0	0	3	0	6.830650000000001	0.25681689287632836	830426	27123.25599923431
ycsb	workloadF	gh	result_ycsb_1467578517	2016/07/03:13:41:57	hash	10000000	0	1	0	0	0	true	256	1000000	512	2	1000	true	16	0	0	0	1	8	2	1	0	0	14	0	16	F	0	0	3	0	6.7774366666666666	0.376001547544108	713477	40885.54358884742
ycsb	workloadF	gh	result_ycsb_1467578627	2016/07/03:13:43:47	hash	10000000	0	1	0	0	0	true	256	1000000	512	2	1000	true	16	0	0	0	1	7	3	1	0	0	14	0	16	F	0	0	3	0	7.110496666666667	0.33271772123260457	638215	26148.767929335198
ycsb	workloadF	gh	result_ycsb_1467578736	2016/07/03:13:45:36	hash	10000000	0	1	0	0	0	true	256	1000000	512	2	1000	true	16	0	0	0	1	6	4	1	0	0	14	0	16	F	0	0	3	0	7.475006666666666	0.29098539669352635	558716	20414.89119626999
ycsb	workloadF	gh	result_ycsb_1467578845	2016/07/03:13:47:25	hash	10000000	0	1	0	0	0	true	256	1000000	512	2	1000	true	16	0	0	0	1	5	5	1	0	0	14	0	16	F	0	0	3	0	8.136933333333333	0.0405773699930585	490071	3570.5063444197926
ycsb	workloadF	gh	result_ycsb_1467578955	2016/07/03:13:49:15	hash	10000000	0	1	0	0	0	true	256	1000000	512	2	1000	true	16	0	0	0	1	4	6	1	0	0	14	0	16	F	0	0	3	0	8.69652	0.2449173004642363	408277	11797.37674231013
ycsb	workloadF	gh	result_ycsb_1467579065	2016/07/03:13:51:05	hash	10000000	0	1	0	0	0	true	256	1000000	512	2	1000	true	16	0	0	0	1	3	7	1	0	0	14	0	16	F	0	0	3	0	9.466833333333334	0.2739000781712388	324075	9236.328034211283
ycsb	workloadF	gh	result_ycsb_1467579175	2016/07/03:13:52:55	hash	10000000	0	1	0	0	0	true	256	1000000	512	2	1000	true	16	0	0	0	1	2	8	1	0	0	14	0	16	F	0	0	3	0	10.972233333333334	0.05057234641813886	243797	1400.434535737211
ycsb	workloadF	gh	result_ycsb_1467579284	2016/07/03:13:54:44	hash	10000000	0	1	0	0	0	true	256	1000000	512	2	1000	true	16	0	0	0	1	1	9	1	0	0	14	0	16	F	0	0	3	0	12.828833333333334	0.2836536072199356	137843	3290.1454206295066
ycsb	workloadF	gh	result_ycsb_1467579394	2016/07/03:13:56:34	hash	10000000	0	1	0	0	0	true	256	1000000	512	2	1000	true	16	0	0	0	1	0	10	1	0	0	14	0	16	F	0	0	3	0	17.04906666666667	0.04692237087822086	0	0.0

