BENCHMARK_NAME	WORKLOAD_NAME	MACHINE	RESULT_FOLDER	FOLDER_TIMESTAMP	STORAGE_TYPE	duration_micro	enable_retrospective_lock_list	extended_rw_lock	extra_table_reads	extra_table_rmws	extra_table_size	fork_workers	hot_threshold	initial_table_size	log_buffer_mb	loggers_per_node	max_scan_length	null_log_device	numa_nodes	ordered_inserts	parallel_lock	random_inserts	read_all_fields	reducer_buffer_size	reps_per_tx	rmw_additional_reads	snapshot_pool_size	sort_keys	sort_load_keys	thread_per_node	verify_loaded_data	volatile_pool_size	workload	write_all_fields	zipfian_theta	COMPLETED_RUNS	FAILED_RUNS	MTPS_AVE	MTPS_STDEV	RACE_ABORTS_AVE	RACE_ABORTS_STDEV
ycsb	workloadF	gh	result_ycsb_1457852217	2016/03/12:22:56:57	masstree	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	8	2	1	0	0	14	0	16	F	0	0	3	0	0.035149999999999994	1.348132782791949E-4	330152	2976.430337763216
ycsb	workloadF	gh	result_ycsb_1457852439	2016/03/12:23:00:39	hash	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	7	3	1	0	0	14	0	16	F	0	0	3	0	0.0745347	6.509652269256827E-4	707728	3735.869138798762
ycsb	workloadF	gh	result_ycsb_1457852439	2016/03/12:23:00:39	masstree	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	7	3	1	0	0	14	0	16	F	0	0	3	0	0.03609423333333333	2.2103188809686767E-4	320092	1982.6762777188321
ycsb	workloadF	gh	result_ycsb_1457852661	2016/03/12:23:04:21	hash	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	6	4	1	0	0	14	0	16	F	0	0	3	0	0.07551110000000001	0.0010131289782970637	679897	4583.155899595823
ycsb	workloadF	gh	result_ycsb_1457852661	2016/03/12:23:04:21	masstree	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	6	4	1	0	0	14	0	16	F	0	0	3	0	0.03867456666666667	2.2007629485098633E-4	308936	3750.6916102976597
ycsb	workloadF	gh	result_ycsb_1457852882	2016/03/12:23:08:02	hash	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	5	5	1	0	0	14	0	16	F	0	0	3	0	0.07901703333333333	8.233118863599959E-4	625338	7513.519518544022
ycsb	workloadF	gh	result_ycsb_1457852882	2016/03/12:23:08:02	masstree	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	5	5	1	0	0	14	0	16	F	0	0	3	0	0.042010266666666664	1.3947186892779417E-4	299285	664.1746758195468
ycsb	workloadF	gh	result_ycsb_1457853104	2016/03/12:23:11:44	hash	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	4	6	1	0	0	14	0	16	F	0	0	3	0	0.08923913333333333	5.060094882729107E-4	584844	7178.270125872946
ycsb	workloadF	gh	result_ycsb_1457853104	2016/03/12:23:11:44	masstree	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	4	6	1	0	0	14	0	16	F	0	0	3	0	0.0468287	1.0175404987733573E-4	287087	580.4626507239703
ycsb	workloadF	gh	result_ycsb_1457853326	2016/03/12:23:15:26	hash	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	3	7	1	0	0	14	0	16	F	0	0	3	0	0.107333	5.02359101308603E-4	563787	2880.552647590735
ycsb	workloadF	gh	result_ycsb_1457853326	2016/03/12:23:15:26	masstree	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	3	7	1	0	0	14	0	16	F	0	0	3	0	0.053161233333333335	8.000226385266557E-5	265404	558.726727083331
ycsb	workloadF	gh	result_ycsb_1457853547	2016/03/12:23:19:07	hash	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	2	8	1	0	0	14	0	16	F	0	0	3	0	0.141527	4.642118769115394E-4	537581	1382.0953496564528
ycsb	workloadF	gh	result_ycsb_1457853547	2016/03/12:23:19:07	masstree	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	2	8	1	0	0	14	0	16	F	0	0	3	0	0.061689233333333336	1.1176613480172508E-4	228641	557.9210418020618
ycsb	workloadF	gh	result_ycsb_1457853769	2016/03/12:23:22:49	hash	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	1	9	1	0	0	14	0	16	F	0	0	3	0	0.22389933333333334	8.819029929025852E-4	481393	3374.842547768563
ycsb	workloadF	gh	result_ycsb_1457853769	2016/03/12:23:22:49	masstree	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	1	9	1	0	0	14	0	16	F	0	0	3	0	0.06922033333333334	9.242241189382321E-5	145496	413.2806418032579
ycsb	workloadF	gh	result_ycsb_1457853992	2016/03/12:23:26:32	hash	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	0	10	1	0	0	14	0	16	F	0	0	3	0	113.137	0.5579408570812265	0	0.0
ycsb	workloadF	gh	result_ycsb_1457853992	2016/03/12:23:26:32	masstree	10000000	1	1	0	0	0	true	10	50	512	2	1000	true	16	0	0	0	0	1	0	10	1	0	0	14	0	16	F	0	0	3	0	120.31766666666665	0.9465168895605787	0	0.0
ycsb	workloadF	gh	result_ycsb_1457854213	2016/03/12:23:30:13	hash	10000000	0	1	0	0	0	true	256	50	512	2	1000	true	16	0	0	0	0	1	10	0	1	0	0	14	0	16	F	0	0	3	0	0.007798326666666667	1.996872944268118E-5	4135276	6862.150699500577
ycsb	workloadF	gh	result_ycsb_1457854213	2016/03/12:23:30:13	masstree	10000000	0	1	0	0	0	true	256	50	512	2	1000	true	16	0	0	0	0	1	10	0	1	0	0	14	0	16	F	0	0	3	0	5.53327E-4	1.633999426764313E-5	261481	8789.783728852492
ycsb	workloadF	gh	result_ycsb_1457854435	2016/03/12:23:33:55	hash	10000000	0	1	0	0	0	true	256	50	512	2	1000	true	16	0	0	0	0	1	9	1	1	0	0	14	0	16	F	0	0	3	0	0.00862487	1.454524206285457E-5	4145303	7939.04074810049
ycsb	workloadF	gh	result_ycsb_1457854435	2016/03/12:23:33:55	masstree	10000000	0	1	0	0	0	true	256	50	512	2	1000	true	16	0	0	0	0	1	9	1	1	0	0	14	0	16	F	0	0	3	0	6.109053333333334E-4	1.3765120760658859E-5	273525	7023.358922592327
ycsb	workloadF	gh	result_ycsb_1457854656	2016/03/12:23:37:36	hash	10000000	0	1	0	0	0	true	256	50	512	2	1000	true	16	0	0	0	0	1	8	2	1	0	0	14	0	16	F	0	0	3	0	0.009647593333333334	5.347506230823988E-5	4139712	23721.452314069473
ycsb	workloadF	gh	result_ycsb_1457854656	2016/03/12:23:37:36	masstree	10000000	0	1	0	0	0	true	256	50	512	2	1000	true	16	0	0	0	0	1	8	2	1	0	0	14	0	16	F	0	0	3	0	7.836346666666667E-4	3.193846540180231E-5	311771	2926.715717128245
ycsb	workloadF	gh	result_ycsb_1457854877	2016/03/12:23:41:17	hash	10000000	0	1	0	0	0	true	256	50	512	2	1000	true	16	0	0	0	0	1	7	3	1	0	0	14	0	16	F	0	0	3	0	0.011047800000000002	6.709694476065169E-6	4185455	2392.5241667895175
