RUN_TYPE        TABLESIZE       RMWS    READS   WORKERS RESULT_TIMESTAMP        REPORTS MTPS    ABORTS_PER_SEC
3       50      10      0       230     2016/05/24:13:39:26     2297    7.864123019213974E-4    2.5266506275109176E7
3       50      9       1       230     2016/05/24:13:40:09     2299    8.044487753711796E-4    2.0445959375545856E7
3       50      0       10      230     2016/05/24:13:46:24     2179    0.21635024723502302     0.0
3       50      8       2       230     2016/05/24:13:40:52     2298    7.628031293449781E-4    1.5247191637554597E7
3       50      7       3       230     2016/05/24:13:41:33     2300    7.654801580000004E-4    1.2572008700000012E7
3       50      6       4       230     2016/05/24:13:42:16     2298    8.135114131441046E-4    1.0529992475982537E7
3       50      5       5       230     2016/05/24:13:42:57     2299    9.385326919213977E-4    9024852.589519653
3       50      4       6       230     2016/05/24:13:43:38     2299    0.001120804909825327    7169365.25327511
3       50      3       7       230     2016/05/24:13:44:20     2297    0.0014632513021834055   5722235.88646288
3       50      2       8       230     2016/05/24:13:45:01     2298    0.0021687204292576427   4151091.0218340587
3       50      1       9       230     2016/05/24:13:45:43     2296    0.003876710051091704    2179311.9794759816
33      50      10      0       230     2016/05/24:13:47:06     2298    0.0     2.0225374812227085E7
33      50      9       1       230     2016/05/24:13:47:48     2299    0.0     5800328.820960703
33      50      0       10      230     2016/05/24:13:54:04     2242    0.3255215957142855      0.0
33      50      8       2       230     2016/05/24:13:48:30     2298    0.0     2052598.3406113524
33      50      7       3       230     2016/05/24:13:49:11     2299    0.0     1070314.089519651
33      50      6       4       230     2016/05/24:13:49:53     2299    0.0     729392.0959825324
33      50      5       5       230     2016/05/24:13:50:34     2296    0.0     548735.8219213977
33      50      4       6       230     2016/05/24:13:51:17     2298    0.0     417845.35292576416
33      50      3       7       230     2016/05/24:13:51:58     2297    0.0     313650.8975545851
33      50      2       8       230     2016/05/24:13:52:40     2298    0.0     280471.2010043667
33      50      1       9       230     2016/05/24:13:53:22     2298    0.0     219424.02650655017
