RUN_TYPE	TABLESIZE	RMWS	READS	WORKERS	RESULT_TIMESTAMP	REPORTS	MTPS	ABORTS_PER_SEC
4	50	2	8	48	2016/02/29:22:17:19	478	7.046626314893621E-5	313509.7429787235
4	50	1	9	48	2016/02/29:22:17:49	479	0.050300814638297886	487716.6842553192
8	100	10	0	48	2016/02/29:22:53:53	480	0.32682297999999993	0.0
8	100	9	1	48	2016/02/29:22:54:27	480	0.33554148	0.0
8	100	0	10	48	2016/02/29:22:59:29	480	2.3784624	0.0
8	100	8	2	48	2016/02/29:22:55:01	480	0.3456939999999999	0.0
8	100	7	3	48	2016/02/29:22:55:34	480	0.3586374800000001	0.0
8	100	6	4	48	2016/02/29:22:56:08	480	0.37785299000000006	0.0
8	100	5	5	48	2016/02/29:22:56:41	480	0.4118769	0.0
8	100	4	6	48	2016/02/29:22:57:14	480	0.4655738399999999	0.0
8	100	3	7	48	2016/02/29:22:57:48	480	0.5432679999999999	0.0
8	100	2	8	48	2016/02/29:22:58:21	480	0.687417	0.0
8	100	1	9	48	2016/02/29:22:58:55	480	1.062818	0.0
8	1000	10	0	48	2016/02/29:23:00:03	480	1.7856007999999997	0.0
8	1000	9	1	48	2016/02/29:23:00:37	480	1.8087091999999998	0.0
8	1000	0	10	48	2016/02/29:23:05:38	480	2.5324278	0.0
8	1000	8	2	48	2016/02/29:23:01:10	480	1.8490028000000005	0.0
8	1000	7	3	48	2016/02/29:23:01:44	480	1.9093427	0.0
8	1000	6	4	48	2016/02/29:23:02:17	480	1.9994388	0.0
8	1000	5	5	48	2016/02/29:23:02:50	480	2.1138879000000004	0.0
8	1000	4	6	48	2016/02/29:23:03:24	480	2.2596812	0.0
8	1000	3	7	48	2016/02/29:23:03:57	480	2.4237327999999994	0.0
8	1000	2	8	48	2016/02/29:23:04:31	480	2.605662100000001	0.0
8	1000	1	9	48	2016/02/29:23:05:04	480	2.7581814000000007	0.0
8	10000	10	0	48	2016/02/29:23:06:12	480	2.3095601000000006	0.0
8	10000	9	1	48	2016/02/29:23:06:46	480	2.2438223	0.0
8	10000	0	10	48	2016/02/29:23:11:47	480	2.7685286	0.0
8	10000	8	2	48	2016/02/29:23:07:19	480	2.2826891000000002	0.0
8	10000	7	3	48	2016/02/29:23:07:53	480	2.3042303	0.0
8	10000	6	4	48	2016/02/29:23:08:26	480	2.3580767	0.0
8	10000	5	5	48	2016/02/29:23:08:59	480	2.3340596000000002	0.0
8	10000	4	6	48	2016/02/29:23:09:33	480	2.3586461000000005	0.0
8	10000	3	7	48	2016/02/29:23:10:06	480	2.3842309	0.0
8	10000	2	8	48	2016/02/29:23:10:40	480	2.4615654000000005	0.0
8	10000	1	9	48	2016/02/29:23:11:13	480	2.7328770000000002	0.0
8	100000	10	0	48	2016/02/29:23:12:21	480	2.3179171999999997	0.0
8	100000	9	1	48	2016/02/29:23:12:55	480	2.2958065999999993	0.0
8	100000	0	10	48	2016/02/29:23:17:56	480	2.8169461	0.0
8	100000	8	2	48	2016/02/29:23:13:28	480	2.3008398000000003	0.0
