RUN_TYPE	TABLESIZE	RMWS	NORMALOPS	WORKERS	RESULT_TIMESTAMP	REPORTS	MTPS	ABORTS_PER_SEC
28	2	2	50	230	2016/03/08:13:12:35	2299	0.11354263161572052	0.0
28	2	2	5	230	2016/03/08:13:09:52	1182	0.005088262281101694	0.0
28	3	3	10	230	2016/03/08:13:14:18	2299	0.005994060512663757	0.0
28	3	3	20	230	2016/03/08:13:15:08	2299	0.009976875891266376	0.0
28	3	3	0	230	2016/03/08:13:12:56	346	0.011736764029411763	0.0
28	3	3	50	230	2016/03/08:13:16:20	2285	0.1116956666666666	0.0
28	3	3	5	230	2016/03/08:13:13:35	2293	0.0026203928614410466	0.0
28	4	4	10	230	2016/03/08:13:18:21	2296	0.003127597811353713	0.0
28	4	4	20	230	2016/03/08:13:19:11	2299	0.01011045781222708	0.0
28	4	4	0	230	2016/03/08:13:16:57	2299	0.0014046064144104785	0.0
28	4	4	50	230	2016/03/08:13:20:24	2299	0.15167893965065504	0.0
28	4	4	5	230	2016/03/08:13:17:37	2284	0.0029632671232017564	0.0

